ISBN,Title,Genre,Year,Stock,Price,Author
850990095-7,George of the Jungle,Children|Comedy,1963,90,22.79,Chickie Learoyd
740561624-0,Vares: Private Eye (Vares - Yksityisetsivä),Action|Comedy|Crime|Thriller,1997,89,9.5,Sibbie Giannassi
847105814-6,Gods and Monsters,Drama,2012,47,20.06,Phil Hoult
002494066-6,"Man Called Gannon, A",Western,1995,57,21.61,Leena Hitschke
360331507-3,Control (Kontroll),Comedy|Crime|Drama|Mystery,2012,37,15.73,Donn Wimpenny
832166371-0,"Rugrats Movie, The",Animation|Children|Comedy,2007,56,2.51,Avivah Paz
741230744-4,Gen 13 (a.k.a. Gen13: The Animated Movie),Action|Animation|Sci-Fi,2000,34,15.75,Burl Fidgett
313316092-3,Gifted Hands: The Ben Carson Story,Drama,1996,81,10.58,Harland Harby
689729960-X,Minnie and Moskowitz,Action,1998,26,22.14,Marris Astbury
751558428-9,Planet of the Apes,Action|Drama|Sci-Fi,2012,58,25.89,Horatia Grahlmans
439414169-9,Carnosaur,Horror|Sci-Fi,2012,55,3.81,Leonie Cardwell
697604216-4,Deadline,Mystery|Thriller,1999,22,16.54,Lark Reuble
861483892-1,"Watch, The",Comedy|Sci-Fi,2006,50,7.5,Rolland Cisec
393553158-3,"Personal Journey with Martin Scorsese Through American Movies, A",Documentary,2004,60,10.14,Marris Corbett
884902901-2,Hansel & Gretel,Drama|Fantasy|Horror|Mystery|Thriller,1995,21,2.15,Brnaba Gobolos
359837785-1,Time Code,Comedy|Drama,2007,18,8.6,Madelina Dummer
094614827-9,"Summer's Tale, A (Conte d'été)",Comedy|Drama|Romance,1987,88,27.89,Dorthea Twelftree
724026041-0,2 + 2 (Dos más dos),Comedy,1992,18,20.52,Cello Harry
309318924-1,Bonnie and Clyde,Crime|Documentary|Drama,2006,27,20.67,Rennie Howle
435244455-3,"Prime of Miss Jean Brodie, The",Drama,2012,35,24.94,Terese Issacoff
970321964-0,Africa Screams,Adventure|Comedy,1988,22,1.77,Federica Zylbermann
957032975-0,Man on the Flying Trapeze,Comedy,2010,62,1.46,Alyssa Landsbury
352367883-8,Papillon,Crime|Drama,1994,42,25.35,Antonio Beeres
371264215-6,The Killing Jar,Drama|Thriller,2009,50,19.78,Harmony Stredwick
444718745-0,Black Cadillac,Horror|Thriller,2007,33,11.84,Gertrud Gallafant
847868478-6,Down by Law,Comedy|Drama|Film-Noir,1998,24,5.23,Karlan Olyunin
616607007-1,In Two Minds,(no genres listed),1983,42,12.49,Terry Goldster
340968082-9,Jeepers Creepers 2,Horror|Thriller,1993,59,17.98,Scot Healeas
606295794-0,Going Straight,Crime|Drama,1996,98,25.66,Gonzales Bonus
760100729-4,Fulltime Killer (Chuen jik sat sau),Action|Thriller,1991,49,14.11,Steffen Adaway
821020755-5,Eva,Drama|Fantasy|Sci-Fi,2004,23,6.76,Bliss Garm
338628978-9,"Architecture of Doom, The (Undergångens arkitektur)",Documentary|War,1994,57,25.43,Tomlin Abdy
353299010-5,"Story of Maths, The",Documentary,2011,55,29.43,Gui Ivanets
092338010-8,"Life and Death of Colonel Blimp, The",Drama|Romance|War,2010,13,11.05,Reggie Spelsbury
726949333-2,Toy Story That Time Forgot,Animation|Children,1981,83,11.63,Doro Hlavac
148762016-0,Death on the Staircase (Soupçons),Crime|Documentary,2009,85,13.67,Lutero Sextone
593354506-6,Climate of Change,Documentary,1999,92,16.53,Brandy Blackshaw
114814753-5,Gentlemen,Drama|Romance|Thriller,2002,26,1.3,Roanne Kordt
037879919-3,Rio 2,Adventure|Animation|Children|Comedy,2006,11,6.95,Darbee Roos
538070044-6,"Gladiators, The (Gladiatorerna)",Drama|Sci-Fi,1996,49,5.96,Mic Spoward
416847958-7,Summertime,Comedy,1994,39,16.46,Sapphire Norrey
603173933-X,Encounter in the Third Dimension,IMAX,2004,24,9.25,Meredithe Bellchamber
352511805-8,Simon,Comedy|Drama,1992,48,1.61,Yoshiko Breckwell
254670050-2,Barbarian Queen II: The Empress Strikes Back,Action|Adventure|Fantasy,1995,27,17.36,Arny Le Jean
509874880-1,Russell Brand: Messiah Complex,Comedy,2010,1,16.42,Nina Fathers
137030279-7,"Blot, The",Drama,1991,96,14.2,Jobi Porte
118808892-0,Someone Marry Barry,Comedy,1970,19,1.53,Lauri Fackrell
799843743-X,"10th Victim, The (La decima vittima)",Action|Comedy|Sci-Fi|Thriller,2009,58,26.15,Ferdinand Harburtson
336448276-4,Headless Body in Topless Bar,Comedy|Drama|Thriller,1997,17,11.32,Mahmoud Enston
226058074-2,Mimino,Comedy,1989,75,29.44,Barry Peschmann
658556576-2,Psycho,Crime|Horror,2012,93,22.2,Jacky Bote
946874198-2,Firestarter,Horror|Thriller,1996,87,27.98,Garv Dranfield
124499107-4,Wild Women,Action|Western,1995,76,20.8,Chiquita Allanson
297146710-4,5th Day of Peace (Dio è con noi),Drama|War,2001,31,14.18,Graeme O'Gaven
870325597-2,How to Lose Friends & Alienate People,Comedy,1992,46,2.69,Jarvis Matusson
483811829-5,Take Me Out to the Ball Game,Comedy|Musical|Romance,2012,13,24.58,Irita Brimson
781357183-5,Night Nurse,Crime|Drama|Mystery|Thriller,2008,1,9.73,Celina Bilton
303300547-0,"Garfield Christmas Special, A",Animation|Children|Comedy|Musical,1994,90,15.79,Dusty Remnant
266193046-9,Is Anybody There?,Drama,1993,42,7.99,Ellynn Vigietti
003075625-1,Broken Wings (Knafayim Shvurot),Drama,1993,71,6.96,Rachel Mendez
113959777-9,Cinderella,Adventure|Children|Drama|Sci-Fi,2000,41,13.79,Wainwright Shallow
257202967-7,Free Radicals (Böse Zellen),Drama,2002,11,26.97,Shelli Marks
988378695-6,"Journey, The (El viaje)",Drama,2008,71,27.24,Kaspar Cassey
969712806-5,Austin Powers: The Spy Who Shagged Me,Action|Adventure|Comedy,1996,31,10.34,Marybelle Peckham
659068221-6,Sammy and Rosie Get Laid,Comedy|Drama,2008,15,12.26,Jacinthe Alder
940334890-9,"Boy and the Pirates, The",Adventure|Fantasy,1971,95,27.67,Conchita Knox
702985280-X,"Secret of Moonacre, The",Adventure|Fantasy|Romance,2009,10,23.49,Eleni Pirdy
693084859-X,Dialogues with Solzhenitsyn (Uzel),Documentary,1996,55,19.09,Chrissie Counihan
725872293-9,42 Up,Documentary,1995,27,24.0,Bobette Kerswill
230572571-X,Tortured,Crime|Thriller,2005,94,23.23,Missy Rambadt
576232801-5,"Hard Way, The",Drama,1996,4,26.68,Brooke Haster
029180212-5,Micmacs (Micmacs à tire-larigot),Comedy|Crime,1998,8,3.27,Haydon Veal
248762846-4,Sons of the Desert,Comedy,2004,47,15.94,Wyndham Ramirez
083076152-7,"Principal, The",Action|Crime|Drama,2010,37,1.76,Aviva Fuller
098126374-7,Ten Thousand Saints,Comedy|Drama,2007,88,22.73,Lance Ratazzi
